year,title,pdf_link,Type,ODP reused?,ODP resued names,ODPs links,ontology_available?,Ontology link,
2012,Ontology Design Pattern Language Expressivity Requirements,https://ceur-ws.org/Vol-929/paper3.pdf,Review,FALSE,,http://ontologydesignpatterns.org/wiki/Category:ProposedContentOP,FALSE,,
2012,Ontology Design Patterns in Use - Lessons Learnt from an Ontology Engineering Case,https://ceur-ws.org/Vol-929/paper2.pdf,Case Study,TRUE,,http://ontologydesignpatterns.org,FALSE,,
2012,Specifying Ontology Design Patterns with an Ontology Repository,https://ceur-ws.org/Vol-929/paper1.pdf,Methodology,TRUE,,,FALSE,,
2013,Ontology Patterns: Clarifying Concepts and Terminology,https://ceur-ws.org/Vol-1188/paper_11.pdf,Case Study,TRUE,,,FALSE,,
2013,Reasoning Performance Indicators for Ontology Design Patterns,https://ceur-ws.org/Vol-1188/paper_3.pdf,Evaluation Study,FALSE,,,FALSE,,
2013,Detecting Good Practices and Pitfalls when Publishing Vocabularies on the Web,https://ceur-ws.org/Vol-1188/paper_6.pdf,Methodology,FALSE,,,FALSE,,
2013,Event Processing in RDF,https://ceur-ws.org/Vol-1188/paper_1.pdf,ODP,FALSE,,http://ontologydesignpatterns.org/wiki/Submissions:EventProcessing,FALSE,,
2013,Terminology-Based Patterns for Natural Language Definitions in Ontologies,https://ceur-ws.org/Vol-1188/paper_12.pdf,Other,FALSE,,,FALSE,,
2013,Towards Diagrammatic Ontology Patterns,https://ceur-ws.org/Vol-1188/paper_4.pdf,Other,FALSE,,,FALSE,,
2013,The Event Processing ODP,https://ceur-ws.org/Vol-1188/paper_2.pdf,ODP,TRUE,EventProcessing,http://ontologydesignpatterns.org/wiki/Submissions:EventProcessing,TRUE,http://www.ontologydesignpatterns.org/cp/examples/eventprocessing/eventexample.owl,
2013,The Object with States Ontology Design Pattern,https://ceur-ws.org/Vol-1188/paper_5.pdf,ODP,TRUE,"Situation,CollectionEntity,Set",http://ontologydesignpatterns.org/wiki/Submissions:Situation,TRUE,http://delicias.dia.fi.upm.es/ontologies/ObjectWithStates.owl,
2013,License Linked Data Resources Pattern,https://ceur-ws.org/Vol-1188/paper_7.pdf,ODP,FALSE,,,FALSE,,
2013,Abstracting Transport to an Ontology Design Pattern for the Geosciences,https://ceur-ws.org/Vol-1188/paper_13.pdf,ODP,FALSE,,http://ontologydesignpatterns.org/wiki/Submissions:Move,FALSE,,
2013,Statistical Knowledge Patterns for Characterising Linked Data,https://ceur-ws.org/Vol-1188/paper_9.pdf,Other,FALSE,,,FALSE,,
2014,An Ontology Design Pattern for Activity Reasoning,https://ceur-ws.org/Vol-1302/paper8.pdf,ODP,FALSE,,http://descartes-core.org/ontologies/activities/1.0/ActivityPattern.owl,FALSE,,
2014,An Ontology Design Pattern for Cooking Recipes - Classroom Created,https://ceur-ws.org/Vol-1302/paper5.pdf,ODP,FALSE,,,FALSE,,
2014,An Ontology Design Pattern for Material Transformation,https://ceur-ws.org/Vol-1302/paper7.pdf,ODP,FALSE,,http://ontologydesignpatterns.org/wiki/Submissions:Material_Transformation,FALSE,,
2014,Ontology Patterns for Clinical Information Modelling,https://ceur-ws.org/Vol-1302/paper6.pdf,ODP,FALSE,,,FALSE,,
2014,Building Ontologies from Textual Resources: A Pattern Based Improvement Using Deep Linguistic Information,https://ceur-ws.org/Vol-1302/paper2.pdf,Other,FALSE,,,FALSE,,
2014,Digging Ontology Correspondence Antipatterns,https://ceur-ws.org/Vol-1302/paper4.pdf,Antipattern,FALSE,,,FALSE,,
2014,Towards the Reuse of Standardized Thesauri Into Ontologies,https://ceur-ws.org/Vol-1302/paper3.pdf,Ontology Engineering,FALSE,,,FALSE,,
2014,A Pattern-Based Ontology for Describing Publishing Workflows,https://ceur-ws.org/Vol-1302/paper1.pdf,Ontology,TRUE,"timeinterval,participation",,TRUE,http://purl.org/spar/pwo,
2014,Fueling the Future with Semantic Web Patterns,https://ceur-ws.org/Vol-1302/invited.pdf,Vision Paper,FALSE,,,FALSE,,
2015,Integrating Ontology Debugging and Matching into the eXtreme Design Methodology,https://ceur-ws.org/Vol-1461/WOP2015_paper_1.pdf,Other,FALSE,,,FALSE,,
2015,OBM2OWL Patterns: Spotlight on OWL Modeling Versatility,https://ceur-ws.org/Vol-1461/WOP2015_paper_2.pdf,ODP,TRUE,,,FALSE,,
2015,An Ontology Design Pattern for Dynamic Relative Relationships,https://ceur-ws.org/Vol-1461/WOP2015_paper_3.pdf,ODP,FALSE,,,FALSE,,
2015,A Minimal Ontology Pattern for Life Cycle Assessment Data,https://ceur-ws.org/Vol-1461/WOP2015_pattern_abstract_1.pdf,ODP,FALSE,,http://descartes-core.org/ontologies/lca/1.0/LCAPattern.owl,FALSE,,
