file,dir,iri,method
patterns-repository/AquaticResourceObservation/aquaticresourceobservation.owl,patterns-repository/AquaticResourceObservation,http://www.ontologydesignpatterns.org/cp/owl/fsdas/aquaticresourceobservation.owl,xmlns (default namespace)
patterns-repository/AquaticResources/aquaticresources.owl,patterns-repository/AquaticResources,http://www.ontologydesignpatterns.org/cp/owl/fsdas/aquaticresources.owl,xml:base
patterns-repository/AquaticResources/aquaticresources.owl,patterns-repository/AquaticResources,http://www.ontologydesignpatterns.org/cp/owl/fsdas/aquaticresources.owl,xmlns (default namespace)
patterns-repository/AquaticResources/cpannotationschema.owl,patterns-repository/AquaticResources,http://www.ontologydesignpatterns.org/schemas/cpannotationschema.owl,xml:base
patterns-repository/AquaticResources/cpannotationschema.owl,patterns-repository/AquaticResources,http://www.ontologydesignpatterns.org/schemas/cpannotationschema.owl,xmlns (default namespace)
patterns-repository/Auriol_Degbelo/geoi-20200810.owl,patterns-repository/Auriol_Degbelo,http://aurioldegbelo.github.io/geoi,OWL/XML ontologyIRI
patterns-repository/Auriol_Degbelo/geoi-20200810.owl,patterns-repository/Auriol_Degbelo,http://aurioldegbelo.github.io/geoi,xml:base
patterns-repository/Auriol_Degbelo/geoi-20200810.owl,patterns-repository/Auriol_Degbelo,http://www.w3.org/2002/07/owl,xmlns (default namespace)
patterns-repository/Bag/bag.owl,patterns-repository/Bag,http://www.ontologydesignpatterns.org/cp/owl/bag.owl,xml:base
patterns-repository/Bag/bag.owl,patterns-repository/Bag,http://www.ontologydesignpatterns.org/cp/owl/bag.owl,xmlns (default namespace)
patterns-repository/BasicPlan/basicplan.owl,patterns-repository/BasicPlan,http://www.ontologydesignpatterns.org/cp/owl/basicplan.owl,owl:Ontology IRI/rdf:about
patterns-repository/BasicPlan/basicplan.owl,patterns-repository/BasicPlan,http://www.ontologydesignpatterns.org/cp/owl/basicplan.owl,xml:base
patterns-repository/BasicPlan/basicplan.owl,patterns-repository/BasicPlan,http://www.ontologydesignpatterns.org/cp/owl/basicplan.owl,xmlns (default namespace)
patterns-repository/BasicPlanExecution/basicplanexecution.owl,patterns-repository/BasicPlanExecution,http://www.ontologydesignpatterns.org/cp/owl/basicplanexecution.owl,owl:Ontology IRI/rdf:about
patterns-repository/BasicPlanExecution/basicplanexecution.owl,patterns-repository/BasicPlanExecution,http://www.ontologydesignpatterns.org/cp/owl/basicplanexecution.owl,xml:base
patterns-repository/BasicPlanExecution/basicplanexecution.owl,patterns-repository/BasicPlanExecution,http://www.ontologydesignpatterns.org/cp/owl/basicplanexecution.owl,xmlns (default namespace)
patterns-repository/Born_Digital_Archives/BornDigitalArchives_ODP.owl,patterns-repository/Born_Digital_Archives,http://mklab.iti.gr/pericles/BornDigitalArchives_ODP,owl:Ontology IRI/rdf:about
patterns-repository/Born_Digital_Archives/BornDigitalArchives_ODP.owl,patterns-repository/Born_Digital_Archives,http://mklab.iti.gr/pericles/BornDigitalArchives_ODP,xml:base
patterns-repository/Born_Digital_Archives/BornDigitalArchives_ODP.owl,patterns-repository/Born_Digital_Archives,http://mklab.iti.gr/pericles/BornDigitalArchives_ODP,xmlns (default namespace)
patterns-repository/CatchRecord/catchrecord.owl,patterns-repository/CatchRecord,http://www.ontologydesignpatterns.org/cp/owl/fsdas/catchrecord.owl,xml:base
patterns-repository/CatchRecord/catchrecord.owl,patterns-repository/CatchRecord,http://www.ontologydesignpatterns.org/cp/owl/fsdas/catchrecord.owl,xmlns (default namespace)
patterns-repository/ChessGame/chesspattern.owl,patterns-repository/ChessGame,http://purl.org/NET/rdfchess/ontology/,owl:Ontology IRI/rdf:about
patterns-repository/ChessGame/chesspattern.owl,patterns-repository/ChessGame,http://purl.org/NET/rdfchess/ontology/,xml:base
patterns-repository/ChessGame/chesspattern.owl,patterns-repository/ChessGame,http://purl.org/NET/rdfchess/ontology/,xmlns (default namespace)
patterns-repository/City_Resident_Pattern/GCI-Innovation.owl,patterns-repository/City_Resident_Pattern,http://ontology.eil.utoronto.ca/GCI/Innovation/GCI-Innovation.owl,OWL/XML ontologyIRI
patterns-repository/City_Resident_Pattern/GCI-Innovation.owl,patterns-repository/City_Resident_Pattern,http://ontology.eil.utoronto.ca/GCI/Innovation/GCI-Innovation.owl,xml:base
patterns-repository/City_Resident_Pattern/GCI-Innovation.owl,patterns-repository/City_Resident_Pattern,http://www.w3.org/2002/07/owl,xmlns (default namespace)
patterns-repository/City_Resident_Pattern/Resident.owl,patterns-repository/City_Resident_Pattern,http://ontology.eil.utoronto.ca/cdm/Resident#,OWL/XML ontologyIRI
patterns-repository/City_Resident_Pattern/Resident.owl,patterns-repository/City_Resident_Pattern,http://ontology.eil.utoronto.ca/cdm/Resident#,xml:base
patterns-repository/City_Resident_Pattern/Resident.owl,patterns-repository/City_Resident_Pattern,http://www.w3.org/2002/07/owl,xmlns (default namespace)
patterns-repository/City_Resident_Pattern/icontact.owl,patterns-repository/City_Resident_Pattern,http://www.w3.org/1999/xhtml,xmlns (default namespace)
patterns-repository/Classification/classification.owl,patterns-repository/Classification,http://www.ontologydesignpatterns.org/cp/owl/classification.owl,owl:Ontology IRI/rdf:about
patterns-repository/Classification/classification.owl,patterns-repository/Classification,http://www.ontologydesignpatterns.org/cp/owl/classification.owl,xml:base
patterns-repository/Classification/classification.owl,patterns-repository/Classification,http://www.ontologydesignpatterns.org/cp/owl/classification.owl,xmlns (default namespace)
patterns-repository/ClimaticZone/aquaticresources.owl,patterns-repository/ClimaticZone,http://www.ontologydesignpatterns.org/cp/owl/fsdas/aquaticresources.owl,xml:base
patterns-repository/ClimaticZone/aquaticresources.owl,patterns-repository/ClimaticZone,http://www.ontologydesignpatterns.org/cp/owl/fsdas/aquaticresources.owl,xmlns (default namespace)
patterns-repository/ClimaticZone/climaticzone.owl,patterns-repository/ClimaticZone,http://www.ontologydesignpatterns.org/cp/owl/fsdas/climaticzone.owl,xml:base
patterns-repository/ClimaticZone/climaticzone.owl,patterns-repository/ClimaticZone,http://www.ontologydesignpatterns.org/cp/owl/fsdas/climaticzone.owl,xmlns (default namespace)
patterns-repository/ClimaticZone/cpannotationschema.owl,patterns-repository/ClimaticZone,http://www.ontologydesignpatterns.org/schemas/cpannotationschema.owl,xml:base
patterns-repository/ClimaticZone/cpannotationschema.owl,patterns-repository/ClimaticZone,http://www.ontologydesignpatterns.org/schemas/cpannotationschema.owl,xmlns (default namespace)
patterns-repository/ClimaticZone/observation.owl,patterns-repository/ClimaticZone,http://www.ontologydesignpatterns.org/cp/owl/observation.owl,owl:Ontology IRI/rdf:about
patterns-repository/ClimaticZone/observation.owl,patterns-repository/ClimaticZone,http://www.ontologydesignpatterns.org/cp/owl/observation.owl,xml:base
patterns-repository/ClimaticZone/observation.owl,patterns-repository/ClimaticZone,http://www.ontologydesignpatterns.org/cp/owl/observation.owl,xmlns (default namespace)
