year,title,pdf_link,Type,ODP reused?,ODP resued names,ODPs links,ontology_available?,Ontology link,
2005,Ontology Design Patterns for Semantic Web Content,https://doi.org/10.1007/11574620_21,Other,FALSE,,,FALSE,,
2009,Ontology design patterns,https://doi.org/10.1007/978-3-540-92673-3_10,Other,FALSE,,,FALSE,,
2016,Ontology engineering with ontology design patterns: foundations and applications,https://ebooks.iospress.nl/volume/ontology-engineering-with-ontology-design-patterns-foundations-and-applications,Other,FALSE,,,FALSE,,
2013,A Geo-ontology Design Pattern for Semantic Trajectories,https://doi.org/10.1007/978-3-319-01790-7_24,Other,FALSE,,,FALSE,,
2010,The stimulus-sensor-observation ontology design pattern and its integration into the semantic sensor network ontology,http://ceur-ws.org/Vol-668/paper12.pdf,Other,FALSE,,,FALSE,,
2008,Content Ontology Design Patterns as Practical Building Blocks for Web Ontologies,https://doi.org/10.1007/978-3-540-87877-3_11,Other,FALSE,,,FALSE,,
2008,Ontology Design Patterns for bio-ontologies: a case study on the Cell Cycle Ontology,https://doi.org/10.1186/1471-2105-9-s5-s1,Other,FALSE,,,FALSE,,
